CLNN,AGE_GB,SEX_CCD
14437,1,M
2414,2,F
2136,3,M
15588,4,F
6377,5,M
1974,1,F
3939,2,M
6130,3,F
10937,4,M
1072,5,F
918,1,M
9374,2,F
7119,3,M
7535,4,F
1522,5,M
2057,1,F
10713,2,M
8335,3,F
10060,4,M
3245,5,F
13579,1,M
5870,2,F
24443,3,M
12476,4,F
23002,5,M
4964,1,F
6102,2,M
14193,3,F
2229,4,M
13230,5,F
2647,1,M
5201,2,F
4554,3,M
11924,4,F
952,5,M
7749,1,F
10039,2,M
16274,3,F
3552,4,M
10108,5,F
4759,1,M
7260,2,F
12785,3,M
3785,4,F
5272,5,M
1392,1,F
16490,2,M
7261,3,F
2292,4,M
12300,5,F
4238,1,M
77,2,F
4547,3,M
9449,4,F
5480,5,M
15051,1,F
15501,2,M
12521,3,F
4851,4,M
6093,5,F
97,1,M
91,2,F
17279,4,M
19602,2,F
1287,4,M
5273,2,F
13155,5,M
14342,4,F
8094,4,M
15202,5,F
928,3,M
10340,5,F
12901,5,M
411,5,F
12420,4,M
3506,5,F
7643,5,M
15945,3,F
5316,3,M
12705,1,F
6402,4,M
17705,3,F
14939,3,M
12154,1,F
2839,2,M
3945,1,F
16698,1,M
14508,3,F
5439,1,M
120,4,F
1230,1,M
10294,1,F
13977,5,M
5216,3,F
5872,4,M
1421,1,F
12638,2,M
6436,5,F
20820,1,M
13034,3,F
5660,3,M
8532,2,F
5539,2,M
15439,1,F
1969,2,M
3967,2,F
25641,3,M
10787,4,F
5536,3,M
630,3,F
1350,3,M
1755,4,F
1053,4,M
7045,5,F
19489,5,M
13170,3,F
18689,3,M
7246,3,F
8870,2,M
24891,2,F
7656,1,M
2689,4,F
1248,2,M
745,4,F
14465,4,M
6425,4,F
3484,1,M
7351,2,F
11871,1,M
972,3,F
2698,2,M
4105,4,F
5987,1,M
15064,5,F
16690,5,M
8484,1,F
2265,1,M
32121,4,F
13269,4,M
7413,1,F
7107,4,M
3886,2,F
9974,3,M
3909,1,F
21865,1,M
275,3,F
5499,1,M
7600,3,F
20442,1,M
1683,4,F
504,4,M
6174,2,F
4312,1,M
13569,2,F
16613,2,M
7703,2,F
4648,2,M
8510,4,F
2491,3,M
8394,5,F
6466,2,M
11759,3,F
6088,5,M
9641,4,F
935,5,M
10675,1,F
14957,3,M
4937,5,F
15986,4,M
23333,3,F
3082,4,M
8297,3,F
8208,3,M
13648,1,F
570,3,M
13233,4,F
6672,1,M
12539,5,F
482,5,M
4543,4,F
13031,3,M
1698,5,F
7451,1,M
398,3,F
6824,5,M
5809,4,F
