CLNN,MCT_ADM_GDS_APB_CD,CLNN,FINAL_CD,SAA,DOF_TF,DAW_CCD,MCT_N,TIME
0,53,0,97,51,0,5,134,184389
0,18,0,160,50,0,10,96,312515
0,27,0,128,45,0,9,123,336542
1,11,5,111,123,1,21,207,518618
1,8,4,155,97,1,11,258,414178
1,19,3,169,93,0,7,94,289276
2,8,8,108,84,1,10,195,530267
2,23,6,81,82,0,13,117,470517
2,18,6,150,78,0,9,189,594920
3,9,18,367,207,1,14,368,481399
3,47,9,132,119,1,11,183,361937
3,30,9,209,100,1,0,146,378131
4,19,8,119,90,0,1,74,159879
4,41,8,105,73,2,4,77,234694
4,32,12,94,64,1,9,128,556934
5,30,20,257,111,1,14,150,444564
5,5,20,87,87,2,7,244,588875
5,10,15,127,85,2,9,137,331978
6,2,36,321,220,0,15,353,645695
6,13,18,128,107,1,3,89,281256
6,23,30,198,98,2,21,252,590006
7,16,35,310,106,3,6,253,608425
7,7,21,120,104,1,6,75,308691
7,23,14,116,71,0,4,129,247570
8,12,40,213,147,3,12,243,682850
8,39,32,251,129,3,8,206,395260
8,37,24,153,120,1,13,196,423574
9,3,45,243,232,3,18,298,406874
9,13,9,42,64,0,5,25,76873
9,7,27,24,63,1,3,197,621770
10,0,40,206,130,1,13,192,414684
10,2,30,138,93,2,10,264,423103
10,11,50,280,92,3,15,321,363562
11,19,33,185,89,2,6,70,335050
11,22,33,105,67,0,8,137,536357
11,41,33,40,58,3,9,139,377111
12,3,60,182,117,2,11,367,611477
12,34,36,177,81,2,5,114,393466
12,19,24,17,81,1,5,48,267728
13,5,65,270,144,2,8,273,562138
13,1,78,219,136,0,11,318,550949
13,17,65,247,129,2,9,246,541933
14,11,42,103,120,1,7,198,237306
14,21,28,70,71,0,2,108,407113
14,25,42,206,67,1,10,85,143789
15,1,60,202,137,3,11,191,635465
15,13,75,305,110,0,19,240,670884
15,8,90,232,87,0,13,302,676614
16,1,80,209,142,0,11,62,344288
16,26,80,276,133,2,16,267,416769
16,15,32,155,101,0,6,43,241496
