CLNN,DAYS,TIMES,TS_D,SAA
0,0,밤,5,61
0,0,심야,11,156
0,0,아침오전,5,78
0,0,오후,10,199
0,0,저녁,5,81
0,0,점심,5,109
1,0,밤,10,166
1,0,심야,19,432
1,0,아침오전,14,205
1,0,오후,11,229
1,0,저녁,7,165
1,0,점심,17,328
2,0,밤,9,186
2,0,심야,25,460
2,0,아침오전,11,237
2,0,오후,13,204
2,0,저녁,11,221
2,0,점심,8,197
3,0,밤,6,165
3,0,심야,28,568
3,0,아침오전,12,197
3,0,오후,16,388
3,0,저녁,12,270
3,0,점심,12,242
4,0,밤,8,187
4,0,심야,25,556
4,0,아침오전,10,176
4,0,오후,11,243
4,0,저녁,15,263
4,0,점심,7,89
5,0,밤,9,223
5,0,심야,27,480
5,0,아침오전,14,263
5,0,오후,14,294
5,0,저녁,11,172
5,0,점심,8,137
6,0,밤,14,295
6,0,심야,25,690
6,0,아침오전,14,224
6,0,오후,15,239
6,0,저녁,11,267
6,0,점심,8,194
7,0,밤,12,175
7,0,심야,20,276
7,0,아침오전,11,203
7,0,오후,7,120
7,0,저녁,9,190
7,0,점심,11,231
8,0,밤,10,153
8,0,심야,18,379
8,0,아침오전,14,301
8,0,오후,18,273
8,0,저녁,9,118
8,0,점심,6,186
9,0,밤,9,118
9,0,심야,29,549
9,0,아침오전,7,166
9,0,오후,14,294
9,0,저녁,13,216
9,0,점심,7,106
10,0,밤,9,174
10,0,심야,23,443
10,0,아침오전,7,93
10,0,오후,16,319
10,0,저녁,11,217
10,0,점심,19,299
11,0,밤,7,106
11,0,심야,19,359
11,0,아침오전,10,172
11,0,오후,10,182
11,0,저녁,7,144
11,0,점심,7,169
12,0,밤,12,235
12,0,심야,25,486
12,0,아침오전,14,272
12,0,오후,14,213
12,0,저녁,10,177
12,0,점심,14,234
13,0,밤,8,144
13,0,심야,34,676
13,0,아침오전,16,355
13,0,오후,13,249
13,0,저녁,9,210
13,0,점심,11,225
14,0,밤,9,194
14,0,심야,20,452
14,0,아침오전,16,306
14,0,오후,8,199
14,0,저녁,11,273
14,0,점심,5,64
15,0,밤,10,155
15,0,심야,18,336
15,0,아침오전,13,241
15,0,오후,12,285
15,0,저녁,8,113
15,0,점심,11,191
16,0,밤,10,252
16,0,심야,29,652
16,0,아침오전,11,282
16,0,오후,17,326
16,0,저녁,9,148
16,0,점심,4,67
17,0,밤,5,124
17,0,심야,24,425
17,0,아침오전,10,142
17,0,오후,15,350
17,0,저녁,7,171
17,0,점심,13,321
18,0,밤,8,128
18,0,심야,23,449
18,0,아침오전,17,426
18,0,오후,15,229
18,0,저녁,16,290
18,0,점심,9,194
19,0,밤,7,137
19,0,심야,23,413
19,0,아침오전,15,333
19,0,오후,12,275
19,0,저녁,9,194
19,0,점심,11,212
20,0,밤,7,141
20,0,심야,24,532
20,0,아침오전,15,234
20,0,오후,13,263
20,0,저녁,12,256
20,0,점심,11,187
21,0,밤,14,261
21,0,심야,34,699
21,0,아침오전,10,170
21,0,오후,15,208
21,0,저녁,12,316
21,0,점심,5,83
22,0,밤,8,218
22,0,심야,25,392
22,0,아침오전,8,128
22,0,오후,14,209
22,0,저녁,9,198
22,0,점심,11,178
23,0,밤,13,173
23,0,심야,24,374
23,0,아침오전,6,95
23,0,오후,18,281
23,0,저녁,11,242
23,0,점심,7,153
24,0,밤,10,215
24,0,심야,25,467
24,0,아침오전,14,277
24,0,오후,15,298
24,0,저녁,7,211
24,0,점심,6,74
25,0,밤,7,122
25,0,심야,27,567
25,0,아침오전,8,136
25,0,오후,8,139
25,0,저녁,10,172
25,0,점심,8,117
26,0,밤,10,181
26,0,심야,20,445
26,0,아침오전,21,442
26,0,오후,8,144
26,0,저녁,9,260
26,0,점심,13,215
27,0,밤,2,72
27,0,심야,28,477
27,0,아침오전,15,244
27,0,오후,15,246
27,0,저녁,9,201
27,0,점심,6,99
28,0,밤,8,125
28,0,심야,23,406
28,0,아침오전,15,253
28,0,오후,20,427
28,0,저녁,11,190
28,0,점심,12,191
29,0,밤,11,216
29,0,심야,20,348
29,0,아침오전,17,255
29,0,오후,16,270
29,0,저녁,7,130
29,0,점심,14,295
30,0,밤,8,186
30,0,심야,20,296
30,0,아침오전,9,146
30,0,오후,13,259
30,0,저녁,14,305
30,0,점심,3,132
31,0,밤,6,113
31,0,심야,22,354
31,0,아침오전,10,138
31,0,오후,18,246
31,0,저녁,12,272
31,0,점심,15,376
32,0,밤,6,67
32,0,심야,30,555
32,0,아침오전,17,365
32,0,오후,13,203
32,0,저녁,5,80
32,0,점심,5,119
33,0,밤,11,164
33,0,심야,26,529
33,0,아침오전,13,229
33,0,오후,18,397
33,0,저녁,16,324
33,0,점심,11,221
34,0,밤,9,176
34,0,심야,24,599
34,0,아침오전,8,131
34,0,오후,15,339
34,0,저녁,6,74
34,0,점심,12,244
35,0,밤,8,113
35,0,심야,24,490
35,0,아침오전,10,214
35,0,오후,14,197
35,0,저녁,11,174
35,0,점심,17,241
36,0,밤,6,100
36,0,심야,24,434
36,0,아침오전,22,459
36,0,오후,14,369
36,0,저녁,7,112
36,0,점심,9,196
37,0,밤,13,235
37,0,심야,18,281
37,0,아침오전,13,267
37,0,오후,13,160
37,0,저녁,5,78
37,0,점심,10,244
38,0,밤,8,128
38,0,심야,26,524
38,0,아침오전,12,238
38,0,오후,19,368
38,0,저녁,8,120
38,0,점심,13,247
39,0,밤,7,101
39,0,심야,20,358
39,0,아침오전,20,378
39,0,오후,10,207
39,0,저녁,15,311
39,0,점심,6,106
40,0,밤,17,351
40,0,심야,10,204
40,0,아침오전,20,363
40,0,오후,13,228
40,0,저녁,12,160
40,0,점심,8,152
41,0,밤,15,417
41,0,심야,26,430
41,0,아침오전,13,283
41,0,오후,16,261
41,0,저녁,11,171
41,0,점심,13,281
42,0,밤,9,221
42,0,심야,17,241
42,0,아침오전,12,226
42,0,오후,13,146
42,0,저녁,8,146
42,0,점심,13,234
43,0,밤,12,240
43,0,심야,19,356
43,0,아침오전,18,209
43,0,오후,11,194
43,0,저녁,11,136
43,0,점심,6,69
44,0,밤,11,235
44,0,심야,21,378
44,0,아침오전,14,279
44,0,오후,10,216
44,0,저녁,16,255
44,0,점심,12,287
45,0,밤,10,196
45,0,심야,27,453
45,0,아침오전,12,239
45,0,오후,10,222
45,0,저녁,9,150
45,0,점심,12,224
46,0,밤,7,109
46,0,심야,38,635
46,0,아침오전,14,234
46,0,오후,11,182
46,0,저녁,16,286
46,0,점심,7,96
47,0,밤,7,87
47,0,심야,16,301
47,0,아침오전,9,170
47,0,오후,13,238
47,0,저녁,11,233
47,0,점심,10,166
48,0,밤,10,210
48,0,심야,27,582
48,0,아침오전,11,190
48,0,오후,25,531
48,0,저녁,9,279
48,0,점심,4,38
49,0,밤,19,361
49,0,심야,19,397
49,0,아침오전,14,360
49,0,오후,16,361
49,0,저녁,9,169
49,0,점심,11,217
50,0,밤,9,193
50,0,심야,19,454
50,0,아침오전,12,161
50,0,오후,8,140
50,0,저녁,16,287
50,0,점심,12,221
51,0,밤,7,135
51,0,심야,29,422
51,0,아침오전,15,335
51,0,오후,10,204
51,0,저녁,7,172
51,0,점심,18,350
52,0,밤,9,165
52,0,심야,22,433
52,0,아침오전,15,247
52,0,오후,18,375
52,0,저녁,17,250
52,0,점심,9,143
53,0,밤,6,154
53,0,심야,24,424
53,0,아침오전,6,82
53,0,오후,13,196
53,0,저녁,8,170
53,0,점심,4,137
54,0,밤,14,142
54,0,심야,17,374
54,0,아침오전,15,318
54,0,오후,15,354
54,0,저녁,6,94
54,0,점심,6,94
55,0,밤,12,237
55,0,심야,19,350
55,0,아침오전,13,231
55,0,오후,7,157
55,0,저녁,16,298
55,0,점심,9,98
56,0,밤,10,246
56,0,심야,28,539
56,0,아침오전,11,134
56,0,오후,14,236
56,0,저녁,13,184
56,0,점심,13,321
57,0,밤,13,157
57,0,심야,26,490
57,0,아침오전,14,250
57,0,오후,14,361
57,0,저녁,11,203
57,0,점심,9,210
58,0,밤,16,211
58,0,심야,23,379
58,0,아침오전,13,285
58,0,오후,16,418
58,0,저녁,11,220
58,0,점심,10,127
59,0,밤,12,254
59,0,심야,23,369
59,0,아침오전,20,372
59,0,오후,12,233
59,0,저녁,15,255
59,0,점심,12,278
60,0,밤,9,222
60,0,심야,26,592
60,0,아침오전,10,227
60,0,오후,17,260
60,0,저녁,10,141
60,0,점심,8,163
61,0,밤,12,213
61,0,심야,13,170
61,0,아침오전,18,360
61,0,오후,14,280
61,0,저녁,7,82
61,0,점심,9,232
62,0,밤,8,179
62,0,심야,20,429
62,0,아침오전,12,200
62,0,오후,15,370
62,0,저녁,6,115
62,0,점심,11,194
63,0,밤,8,172
63,0,심야,21,353
63,0,아침오전,12,210
63,0,오후,9,149
63,0,저녁,11,223
63,0,점심,8,96
64,0,밤,12,126
64,0,심야,26,410
64,0,아침오전,7,105
64,0,오후,8,163
64,0,저녁,16,279
64,0,점심,9,94
65,0,밤,6,78
65,0,심야,13,266
65,0,아침오전,14,344
65,0,오후,14,301
65,0,저녁,9,189
65,0,점심,12,212
66,0,밤,10,179
66,0,심야,23,401
66,0,아침오전,21,348
66,0,오후,16,321
66,0,저녁,7,84
66,0,점심,8,149
67,0,밤,12,261
67,0,심야,26,402
67,0,아침오전,10,115
67,0,오후,10,165
67,0,저녁,9,172
67,0,점심,10,193
68,0,밤,13,206
68,0,심야,20,496
68,0,아침오전,9,124
68,0,오후,14,255
68,0,저녁,13,311
68,0,점심,12,192
69,0,밤,15,253
69,0,심야,20,310
69,0,아침오전,18,276
69,0,오후,16,322
69,0,저녁,10,229
69,0,점심,11,257
70,0,밤,14,242
70,0,심야,29,546
70,0,아침오전,8,145
70,0,오후,12,218
70,0,저녁,9,143
70,0,점심,17,381
71,0,밤,5,109
71,0,심야,24,495
71,0,아침오전,4,61
71,0,오후,14,314
71,0,저녁,5,118
71,0,점심,9,162
72,0,밤,7,113
72,0,심야,18,364
72,0,아침오전,10,256
72,0,오후,15,300
72,0,저녁,14,254
72,0,점심,9,140
73,0,밤,13,223
73,0,심야,27,456
73,0,아침오전,18,387
73,0,오후,12,258
73,0,저녁,20,316
73,0,점심,8,216
74,0,밤,11,235
